date,total_asset,cash_balance,market_value,position_pct,cumulative_return_pct,action_code,action_label,summary_text,quality_status,blocking_reasons,warning_reasons,winning_category,selected_symbol,selected_name
2024-01-02,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2024-01-03,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：515790。'],gold_etf,,
2024-01-04,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2024-01-05,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：515790。'],gold_etf,,
2024-01-08,2000.0,2000.0,0.0,0.0,0.0,buy_open,开仓买入,债券ETF 先赢出，十年国债ETF 在 中期轮动 的建仓阶段决策分最高，并进入目标组合，建议开仓买入。,weak,[],['存在需要谨慎解释的数据标的：515790。'],bond_etf,511260,十年国债ETF
2024-01-09,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：515790。'],cross_border_etf,,
2024-01-10,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2024-01-11,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：515790。'],cross_border_etf,,
2024-01-12,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2024-01-15,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2024-01-16,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2024-01-17,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2024-01-18,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2024-01-19,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：515790。'],cross_border_etf,,
2024-01-22,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：515790。'],cross_border_etf,,
2024-01-23,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：515790。'],cross_border_etf,,
2024-01-24,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：515790。'],cross_border_etf,,
2024-01-25,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：515790。'],cross_border_etf,,
2024-01-26,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2024-01-29,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2024-01-30,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：515790。'],cross_border_etf,,
2024-01-31,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2024-02-01,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2024-02-02,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2024-02-05,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2024-02-06,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],"['存在需要谨慎解释的数据标的：510500, 515790。']",cross_border_etf,,
2024-02-07,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],"['存在需要谨慎解释的数据标的：510500, 515790。']",money_etf,511990,华宝添益
2024-02-08,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],"['存在需要谨慎解释的数据标的：510500, 515790。']",money_etf,511990,华宝添益
2024-02-19,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],"['存在需要谨慎解释的数据标的：510500, 515790。']",money_etf,511990,华宝添益
2024-02-20,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],"['存在需要谨慎解释的数据标的：510500, 515790。']",money_etf,511990,华宝添益
2024-02-21,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],"['存在需要谨慎解释的数据标的：510500, 515790。']",money_etf,511990,华宝添益
2024-02-22,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],"['存在需要谨慎解释的数据标的：510500, 515790。']",money_etf,511990,华宝添益
2024-02-23,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],"['存在需要谨慎解释的数据标的：510500, 515790。']",money_etf,511990,华宝添益
2024-02-26,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],"['存在需要谨慎解释的数据标的：510500, 515790。']",money_etf,511990,华宝添益
2024-02-27,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],"['存在需要谨慎解释的数据标的：510500, 515790。']",money_etf,511990,华宝添益
2024-02-28,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],"['存在需要谨慎解释的数据标的：510500, 515790。']",money_etf,511990,华宝添益
2024-02-29,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],"['存在需要谨慎解释的数据标的：510500, 515790。']",money_etf,511990,华宝添益
2024-03-01,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：510500。'],money_etf,511990,华宝添益
2024-03-04,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：510500。'],money_etf,511990,华宝添益
2024-03-05,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：510500。'],money_etf,511990,华宝添益
2024-03-06,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：510500。'],money_etf,511990,华宝添益
2024-03-07,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：510500。'],gold_etf,,
2024-03-08,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：510500。'],money_etf,511990,华宝添益
2024-03-11,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：510500。'],gold_etf,,
2024-03-12,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：510500。'],money_etf,511990,华宝添益
2024-03-13,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：510500。'],money_etf,511990,华宝添益
2024-03-14,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：510500。'],money_etf,511990,华宝添益
2024-03-15,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：510500。'],money_etf,511990,华宝添益
2024-03-18,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：510500。'],money_etf,511990,华宝添益
2024-03-19,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：510500。'],money_etf,511990,华宝添益
2024-03-20,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：510500。'],money_etf,511990,华宝添益
2024-03-21,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：510500。'],money_etf,511990,华宝添益
2024-03-22,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：510500。'],money_etf,511990,华宝添益
2024-03-25,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：510500。'],money_etf,511990,华宝添益
2024-03-26,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：510500。'],money_etf,511990,华宝添益
2024-03-27,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：510500。'],cross_border_etf,,
2024-03-28,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：510500。'],cross_border_etf,,
2024-03-29,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：510500。'],money_etf,511990,华宝添益
2024-04-01,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：510500。'],gold_etf,,
2024-04-02,2000.0,2000.0,0.0,0.0,0.0,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：510500。'],money_etf,511990,华宝添益
2024-04-03,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：510500。'],gold_etf,,
2024-04-08,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：510500。'],gold_etf,,
2024-04-09,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：510500。'],gold_etf,,
2024-04-10,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,weak,[],['存在需要谨慎解释的数据标的：510500。'],gold_etf,,
2024-04-11,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,ok,[],[],gold_etf,,
2024-04-12,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,ok,[],[],gold_etf,,
2024-04-15,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前先给出目标组合和持仓复核结果，但没有形成需要立刻执行的新动作。,ok,[],[],gold_etf,,
