date,symbol,action_code,reason
2024-01-02,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10000.20 元才能覆盖最小建议金额或一手门槛。
2024-01-04,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10000.90 元才能覆盖最小建议金额或一手门槛。
2024-01-08,511260,buy_open,当前建议金额只有 100.00 元，至少需要 12263.70 元才能覆盖最小建议金额或一手门槛。
2024-01-10,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10000.70 元才能覆盖最小建议金额或一手门槛。
2024-01-12,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10001.50 元才能覆盖最小建议金额或一手门槛。
2024-01-15,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10000.50 元才能覆盖最小建议金额或一手门槛。
2024-01-16,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10000.40 元才能覆盖最小建议金额或一手门槛。
2024-01-17,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10000.50 元才能覆盖最小建议金额或一手门槛。
2024-01-18,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10000.70 元才能覆盖最小建议金额或一手门槛。
2024-01-26,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10000.50 元才能覆盖最小建议金额或一手门槛。
2024-01-29,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10000.60 元才能覆盖最小建议金额或一手门槛。
2024-01-31,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10000.30 元才能覆盖最小建议金额或一手门槛。
2024-02-01,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10000.60 元才能覆盖最小建议金额或一手门槛。
2024-02-02,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10000.90 元才能覆盖最小建议金额或一手门槛。
2024-02-05,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10001.10 元才能覆盖最小建议金额或一手门槛。
2024-02-07,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10001.40 元才能覆盖最小建议金额或一手门槛。
2024-02-08,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10008.50 元才能覆盖最小建议金额或一手门槛。
2024-02-19,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10000.10 元才能覆盖最小建议金额或一手门槛。
2024-02-20,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10000.50 元才能覆盖最小建议金额或一手门槛。
2024-02-21,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 9999.50 元才能覆盖最小建议金额或一手门槛。
2024-02-22,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 9999.70 元才能覆盖最小建议金额或一手门槛。
2024-02-23,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10000.50 元才能覆盖最小建议金额或一手门槛。
2024-02-26,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 9999.80 元才能覆盖最小建议金额或一手门槛。
2024-02-27,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 9999.60 元才能覆盖最小建议金额或一手门槛。
2024-02-28,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 9998.90 元才能覆盖最小建议金额或一手门槛。
2024-02-29,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 9997.60 元才能覆盖最小建议金额或一手门槛。
2024-03-01,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10000.10 元才能覆盖最小建议金额或一手门槛。
2024-03-04,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 9999.90 元才能覆盖最小建议金额或一手门槛。
2024-03-05,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10000.30 元才能覆盖最小建议金额或一手门槛。
2024-03-06,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 9999.90 元才能覆盖最小建议金额或一手门槛。
2024-03-08,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10000.30 元才能覆盖最小建议金额或一手门槛。
2024-03-12,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 9999.30 元才能覆盖最小建议金额或一手门槛。
2024-03-13,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 9999.30 元才能覆盖最小建议金额或一手门槛。
2024-03-14,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 9999.70 元才能覆盖最小建议金额或一手门槛。
2024-03-15,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10000.80 元才能覆盖最小建议金额或一手门槛。
2024-03-18,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 9999.60 元才能覆盖最小建议金额或一手门槛。
2024-03-19,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 9999.70 元才能覆盖最小建议金额或一手门槛。
2024-03-20,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 9999.40 元才能覆盖最小建议金额或一手门槛。
2024-03-21,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10000.80 元才能覆盖最小建议金额或一手门槛。
2024-03-22,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10000.90 元才能覆盖最小建议金额或一手门槛。
2024-03-25,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 9999.90 元才能覆盖最小建议金额或一手门槛。
2024-03-26,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 9999.60 元才能覆盖最小建议金额或一手门槛。
2024-03-29,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10001.40 元才能覆盖最小建议金额或一手门槛。
2024-04-02,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10001.80 元才能覆盖最小建议金额或一手门槛。
2024-04-19,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 10000.70 元才能覆盖最小建议金额或一手门槛。
2024-04-22,511260,buy_open,当前建议金额只有 100.00 元，至少需要 12570.90 元才能覆盖最小建议金额或一手门槛。
2024-04-23,511260,buy_open,当前建议金额只有 500.00 元，至少需要 12600.60 元才能覆盖最小建议金额或一手门槛。
2024-04-24,511260,buy_open,当前建议金额只有 500.00 元，至少需要 12543.40 元才能覆盖最小建议金额或一手门槛。
2024-04-25,511260,buy_open,当前建议金额只有 500.00 元，至少需要 12549.60 元才能覆盖最小建议金额或一手门槛。
2024-04-26,511990,park_in_money_etf,当前建议金额只有 2000.00 元，至少需要 9999.40 元才能覆盖最小建议金额或一手门槛。
2024-04-30,511990,park_in_money_etf,当前建议金额只有 1466.87 元，至少需要 10001.80 元才能覆盖最小建议金额或一手门槛。
2024-05-06,512690,buy_open,信号虽达标，但扣除统一交易成本后优势不足，暂不操作。
2024-05-07,511990,park_in_money_etf,当前建议金额只有 1995.35 元，至少需要 10000.20 元才能覆盖最小建议金额或一手门槛。
2024-05-08,511990,park_in_money_etf,当前建议金额只有 1995.35 元，至少需要 10000.50 元才能覆盖最小建议金额或一手门槛。
2024-05-09,511990,park_in_money_etf,当前建议金额只有 1995.35 元，至少需要 9999.60 元才能覆盖最小建议金额或一手门槛。
2024-05-10,511990,park_in_money_etf,当前建议金额只有 1995.35 元，至少需要 10001.30 元才能覆盖最小建议金额或一手门槛。
2024-05-13,511990,park_in_money_etf,当前建议金额只有 1995.35 元，至少需要 9999.80 元才能覆盖最小建议金额或一手门槛。
2024-05-14,511990,park_in_money_etf,当前建议金额只有 1995.35 元，至少需要 10000.00 元才能覆盖最小建议金额或一手门槛。
2024-05-20,511990,park_in_money_etf,当前建议金额只有 1995.35 元，至少需要 9999.40 元才能覆盖最小建议金额或一手门槛。
2024-05-21,511990,park_in_money_etf,当前建议金额只有 1995.35 元，至少需要 9999.70 元才能覆盖最小建议金额或一手门槛。
2024-05-22,511990,park_in_money_etf,当前建议金额只有 1995.35 元，至少需要 10000.00 元才能覆盖最小建议金额或一手门槛。
2024-05-29,511990,park_in_money_etf,当前建议金额只有 1995.35 元，至少需要 10000.20 元才能覆盖最小建议金额或一手门槛。
2024-05-30,511260,buy_open,当前建议金额只有 498.84 元，至少需要 12579.80 元才能覆盖最小建议金额或一手门槛。
2024-05-31,511010,buy_open,当前建议金额只有 498.84 元，至少需要 13391.40 元才能覆盖最小建议金额或一手门槛。
2024-06-03,511010,buy_open,当前建议金额只有 498.84 元，至少需要 13405.60 元才能覆盖最小建议金额或一手门槛。
2024-06-04,511010,buy_open,当前建议金额只有 698.37 元，至少需要 13408.80 元才能覆盖最小建议金额或一手门槛。
2024-06-05,511010,buy_open,当前建议金额只有 498.84 元，至少需要 13412.70 元才能覆盖最小建议金额或一手门槛。
2024-06-06,511990,park_in_money_etf,当前建议金额只有 1995.35 元，至少需要 10000.50 元才能覆盖最小建议金额或一手门槛。
2024-06-07,511990,park_in_money_etf,当前建议金额只有 1995.35 元，至少需要 10001.20 元才能覆盖最小建议金额或一手门槛。
2024-06-21,511990,park_in_money_etf,当前建议金额只有 1995.35 元，至少需要 10000.80 元才能覆盖最小建议金额或一手门槛。
