date,total_asset,cash_balance,market_value,position_pct,cumulative_return_pct,action_code,action_label,summary_text,quality_status,blocking_reasons,warning_reasons,winning_category,selected_symbol,selected_name
2025-11-11,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-11-12,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-11-13,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-11-14,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-11-17,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-11-18,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-11-19,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-11-20,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-11-21,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-11-24,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-11-25,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-11-26,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-11-27,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-11-28,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-12-01,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-12-02,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-12-03,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-12-04,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-12-05,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-12-08,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-12-09,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-12-10,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-12-11,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-12-12,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-12-15,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
2025-12-16,2000.0,2000.0,0.0,0.0,0.0,no_trade,暂不交易,当前数据质量不足，先不生成正式建议。核心 ETF 缺少新鲜真实数据：511990。,blocked,['核心 ETF 缺少新鲜真实数据：511990。'],"['存在回退/模拟数据标的：511990。', '存在需要谨慎解释的数据标的：511990, 515790。']",,,
