date,total_asset,cash_balance,market_value,position_pct,cumulative_return_pct,action_code,action_label,summary_text,quality_status,blocking_reasons,warning_reasons,winning_category,selected_symbol,selected_name
2025-11-11,99927.99,9930.69,89997.3,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-11-12,99927.99,9930.69,89997.3,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-11-13,99930.69,9930.69,90000.0,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-11-14,99935.19,9930.69,90004.5,90.06,-0.06,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-11-17,99930.69,9930.69,90000.0,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-11-18,99928.89,9930.69,89998.2,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-11-19,99929.79,9930.69,89999.1,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-11-20,99932.49,9930.69,90001.8,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-11-21,99931.59,9930.69,90000.9,90.06,-0.07,hold,继续持有,华宝添益 当前仍在 中期轮动 的持有阶段，组合目标和持有评分都支持继续持有。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-11-24,99928.89,9930.69,89998.2,90.06,-0.07,hold,继续持有,华宝添益 当前仍在 中期轮动 的退出阶段，组合目标和持有评分都支持继续持有。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-11-25,99934.29,9930.69,90003.6,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-11-26,99933.39,9930.69,90002.7,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-11-27,99929.79,9930.69,89999.1,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-11-28,99932.49,9930.69,90001.8,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-12-01,99929.79,9930.69,89999.1,90.06,-0.07,hold,继续持有,华宝添益 当前仍在 中期轮动 的退出阶段，组合目标和持有评分都支持继续持有。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-12-02,99931.59,9930.69,90000.9,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-12-03,99928.89,9930.69,89998.2,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-12-04,99928.89,9930.69,89998.2,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-12-05,99930.69,9930.69,90000.0,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-12-08,99927.99,9930.69,89997.3,90.06,-0.07,hold,继续持有,华宝添益 当前仍在 中期轮动 的退出阶段，组合目标和持有评分都支持继续持有。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-12-09,99930.69,9930.69,90000.0,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-12-10,99934.29,9930.69,90003.6,90.06,-0.07,hold,继续持有,华宝添益 当前仍在 中期轮动 的退出阶段，组合目标和持有评分都支持继续持有。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-12-11,99934.29,9930.69,90003.6,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-12-12,99929.79,9930.69,89999.1,90.06,-0.07,hold,继续持有,华宝添益 当前仍在 中期轮动 的退出阶段，组合目标和持有评分都支持继续持有。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-12-15,99927.99,9930.69,89997.3,90.06,-0.07,hold,继续持有,华宝添益 当前仍在 中期轮动 的退出阶段，组合目标和持有评分都支持继续持有。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-12-16,99930.69,9930.69,90000.0,90.06,-0.07,hold,继续持有,华宝添益 当前仍在 中期轮动 的退出阶段，组合目标和持有评分都支持继续持有。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-12-17,99925.29,9930.69,89994.6,90.06,-0.07,hold,继续持有,华宝添益 当前仍在 中期轮动 的退出阶段，组合目标和持有评分都支持继续持有。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-12-18,99930.69,9930.69,90000.0,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-12-19,99929.79,9930.69,89999.1,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-12-22,99925.29,9930.69,89994.6,90.06,-0.07,hold,继续持有,华宝添益 当前仍在 中期轮动 的退出阶段，组合目标和持有评分都支持继续持有。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2025-12-23,99926.19,9930.69,89995.5,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,ok,[],[],money_etf,511990,华宝添益
2025-12-24,99928.89,9930.69,89998.2,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,ok,[],[],money_etf,511990,华宝添益
2025-12-25,99925.29,9930.69,89994.6,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,ok,[],[],money_etf,511990,华宝添益
2025-12-26,99929.79,9930.69,89999.1,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,ok,[],[],money_etf,511990,华宝添益
2025-12-29,99927.99,9930.69,89997.3,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,ok,[],[],money_etf,511990,华宝添益
2025-12-30,99932.49,9930.69,90001.8,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,ok,[],[],money_etf,511990,华宝添益
2025-12-31,99950.49,9930.69,90019.8,90.06,-0.05,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,ok,[],[],money_etf,511990,华宝添益
2026-01-05,99925.29,9930.69,89994.6,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,ok,[],[],money_etf,511990,华宝添益
2026-01-06,99918.99,9930.69,89988.3,90.06,-0.08,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,ok,[],[],money_etf,511990,华宝添益
2026-01-07,99928.89,9930.69,89998.2,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,ok,[],[],money_etf,511990,华宝添益
2026-01-08,99929.79,9930.69,89999.1,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,ok,[],[],money_etf,511990,华宝添益
2026-01-09,99927.99,9930.69,89997.3,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,ok,[],[],money_etf,511990,华宝添益
2026-01-12,99922.59,9930.69,89991.9,90.06,-0.08,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,ok,[],[],money_etf,511990,华宝添益
2026-01-13,99927.09,9930.69,89996.4,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,ok,[],[],money_etf,511990,华宝添益
2026-01-14,99927.99,9930.69,89997.3,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,ok,[],[],money_etf,511990,华宝添益
2026-01-15,99932.49,9930.69,90001.8,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,ok,[],[],money_etf,511990,华宝添益
2026-01-16,99938.79,9930.69,90008.1,90.06,-0.06,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,ok,[],[],money_etf,511990,华宝添益
2026-01-19,99930.69,9930.69,90000.0,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,ok,[],[],money_etf,511990,华宝添益
2026-01-20,99933.39,9930.69,90002.7,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,ok,[],[],money_etf,511990,华宝添益
2026-01-21,99925.29,9930.69,89994.6,90.06,-0.07,hold,继续持有,华宝添益 当前仍在 中期轮动 的退出阶段，组合目标和持有评分都支持继续持有。,ok,[],[],money_etf,511990,华宝添益
2026-01-22,99926.19,9930.69,89995.5,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,ok,[],[],money_etf,511990,华宝添益
2026-01-23,99932.49,9930.69,90001.8,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2026-01-26,99933.39,9930.69,90002.7,90.06,-0.07,park_in_money_etf,转入货币ETF,进攻边不足，先切到 华宝添益 做防守停车。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2026-01-27,99929.79,9930.69,89999.1,90.06,-0.07,hold,继续持有,华宝添益 当前仍在 中期轮动 的退出阶段，组合目标和持有评分都支持继续持有。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
2026-01-28,99929.79,9930.69,89999.1,90.06,-0.07,hold,继续持有,华宝添益 当前仍在 中期轮动 的退出阶段，组合目标和持有评分都支持继续持有。,weak,[],['存在需要谨慎解释的数据标的：515790。'],money_etf,511990,华宝添益
