date,close,amount
2024-09-03,99.996,11392190942.0
2024-09-04,99.998,5915086238.0
2024-09-05,99.999,11944441063.0
2024-09-06,100.013,9588679626.0
2024-09-09,100.001,10475792968.0
2024-09-10,99.997,12496856828.0
2024-09-11,99.998,9095071444.0
2024-09-12,99.995,12041917016.0
2024-09-13,100.017,9905170042.0
2024-09-18,99.996,10728316668.0
2024-09-19,99.991,9708573310.0
2024-09-20,100.006,10662200515.0
2024-09-23,99.996,9535485590.0
2024-09-24,99.977,19526795867.0
2024-09-25,99.98,21976556611.0
2024-09-26,99.938,19900492590.0
2024-09-27,99.967,10302506976.0
2024-09-30,99.97,27121423624.0
2024-10-08,99.983,24656945768.0
2024-10-09,100.006,19262271221.0
2024-10-10,100.109,21519709676.0
2024-10-11,100.081,7928604934.0
2024-10-14,100.044,10211364567.0
2024-10-15,100.025,17894625816.0
2024-10-16,100.002,13849927216.0
2024-10-17,100.004,8024015673.0
2024-10-18,99.992,15901272693.0
2024-10-21,100.007,11535557450.0
2024-10-22,99.998,10728160210.0
2024-10-23,99.998,9467380628.0
2024-10-24,100.006,13226262479.0
2024-10-25,100.006,10443300581.0
2024-10-28,99.999,9699530029.0
2024-10-29,100.0,9365368412.0
2024-10-30,100.004,6125432130.0
2024-10-31,100.005,10492709691.0
2024-11-01,100.015,9249557380.0
2024-11-04,100.009,8021904288.0
2024-11-05,99.998,12986097039.0
2024-11-06,100.004,11358267662.0
2024-11-07,99.992,10628697430.0
2024-11-08,100.01,14609947841.0
2024-11-11,100.009,5260126194.0
2024-11-12,100.006,7745540925.0
2024-11-13,100.001,9872923800.0
2024-11-14,100.005,6072151619.0
2024-11-15,100.005,9314777693.0
2024-11-18,100.002,8909706756.0
2024-11-19,100.0,6216124804.0
2024-11-20,100.005,7664417585.0
2024-11-21,100.009,5796885455.0
2024-11-22,100.018,10934819605.0
2024-11-25,100.003,19039631810.0
2024-11-26,100.002,9896592303.0
2024-11-27,99.999,7220363787.0
2024-11-28,100.007,11530044700.0
2024-11-29,100.0,20787094396.0
2024-12-02,100.003,13089444656.0
2024-12-03,100.001,8551584636.0
2024-12-04,100.005,6390402367.0
2024-12-05,100.006,4637658803.0
2024-12-06,100.006,8739154277.0
